stop_id;stop_code;stop_name;stop_lat;stop_lon;zone_id;alias;stop_area;stop_desc;lest_x;lest_y;zone_name;authority
26075;7820047-1;Hurda;58.38350489;26.70964608;26075;;Tartu linn;"Tuglase tn. suunas";6474649.72;658460.56;TartuLinn;Tartu LV
26077;7820049-1;Ihaste;58.3448756;26.77958387;26077;;Tartu linn;"Kasteheina suunas";6470518.31;662726.45;TartuLinn;Tartu LV
26078;7820050-1;Pallase puiestee;58.35877592;26.78427994;26078;;Tartu linn;"Kasteheina suunas";6472076.57;662936.98;TartuLinn;Tartu LV
26079;7820051-1;Pallase puiestee;58.35888637;26.7828262;26079;;Tartu linn;"Kesklinna suunas";6472085.33;662851.44;TartuLinn;Tartu LV
26081;7820055-1;Ihaste tee II;58.36116965;26.75974837;26081;;Tartu linn;"linna sisesnev";6472283.62;661491.23;TartuLinn;Tartu LV
26084;7820058-1;Jänese;58.3923433;26.73177946;26084;;Tartu linn;;6475685.81;659714.13;TartuLinn;Tartu LV
26087;7820061-1;Kaare;58.36652854;26.7043633;26087;;Tartu linn;"Kesklinna suunas";6472748.00;658228.00;TartuLinn;Tartu LV
26090;7820064-1;Kalda tee;58.37252213;26.75751568;26090;;Tartu linn;"linna sisenev";6473541.60;661308.69;TartuLinn;Tartu LV
26092;7820066-1;Rahu;58.35838607;26.72194733;26092;;Tartu linn;"Kesklinna suunas";6471883.46;659293.04;TartuLinn;Tartu LV
26107;7820267-1;Tarmeko;58.36520963;26.7404915;26107;;Tartu linn;"Sõpruse silla suunas";6472687.01;660346.63;TartuLinn;Tartu LV
26108;7820268-1;Tarmeko;58.36406889;26.74007878;26108;;Tartu linn;"linnast väljuv";6472559.08;660327.68;TartuLinn;Tartu LV
26111;7820274-1;Tartu Näitused;58.38913924;26.69442947;26111;;Tartu linn;"linnast väljuv";6475240.91;657545.96;TartuLinn;Tartu LV
26112;7820301-1;Vene;58.38666842;26.72685629;26112;;Tartu linn;"linnast väljuv";6475042.56;659452.14;TartuLinn;Tartu LV
26113;7820275-1;Tartu Näitused;58.38885283;26.69438562;26113;;Tartu linn;"Tuglase tn. suunas";6475208.94;657544.68;TartuLinn;Tartu LV
26115;7820280-1;Tehase;58.3613194;26.73476473;26115;;Tartu linn;"Raua tn. suunas";6472240.41;660029.40;TartuLinn;Tartu LV
26116;7820282-1;Televisiooni;58.36117326;26.70178627;26116;;Tartu linn;;6472145.94;658101.32;TartuLinn;Tartu LV
144360;7820369-1;Välja;58.40016634;26.71447599;144360;;Tartu linn;"linna sisenev";6476515.35;658667.78;;Tartu LV
26118;7820284-1;Tervishoiu;58.37241821;26.7000216;26118;;Tartu linn;"Riia tn. suunas";6473393.21;657947.71;TartuLinn;Tartu LV
26119;7820286-1;Tref;58.36081269;26.7403929;26119;;Tartu linn;"linnast väljuv";6472197.46;660360.87;TartuLinn;Tartu LV
26120;7820287-1;Tuglase;58.3862124;26.69499199;26120;;Tartu linn;"Kreutzwaldi tn. suunas";6474916.51;657591.93;TartuLinn;Tartu LV
26125;7820293-1;Vabaduse puiestee;58.37909356;26.72727211;26125;;Tartu linn;;6474200.58;659510.73;TartuLinn;Tartu LV
26127;7820296-1;Vaksali;58.3772705;26.7018397;26127;;Tartu linn;"Raudteejaama suunas";6473937.50;658032.25;TartuLinn;Tartu LV
26130;7820182-1;Pepleri;58.37396579;26.71940893;26130;;Tartu linn;"Kesklinna suunas";6473611.25;659074.24;TartuLinn;Tartu LV
26228;7820141-1;Maarjamõisa;58.36995011;26.70165035;26228;;Tartu linn;"linnast väljuv";6473122.38;658054.01;TartuLinn;Tartu LV
24874;7820087-1;Kaunase puiestee;58.37166265;26.76385484;24874;;Tartu linn;"Kesklinna suunas";6473461.22;661683.25;TartuLinn;Tartu LV
26230;7820168-1;Näituse;58.37888945;26.70789617;26230;;Tartu linn;"Vaksali tn. suunas";6474131.95;658379.02;TartuLinn;Tartu LV
26231;7820169-1;Lõuna;58.37486576;26.69707372;26231;;Tartu linn;"Riia tn. suunas";6473658.66;657764.40;Tartu;Tartu LV
26232;7820173-1;Orava;58.39150299;26.73039405;26232;;Tartu linn;;6475589.00;659636.98;TartuLinn;Tartu LV
26233;7820174-1;Paju;58.38233558;26.74682512;26233;;Tartu linn;"Annelinna suunas";6474608.03;660638.92;TartuLinn;Tartu LV
26236;7820177-1;Pauluse;58.37152847;26.71628405;26236;;Tartu linn;"linnast väljuv";6473332.60;658902.53;TartuLinn;Tartu LV
26243;7820186-1;Pikk;58.38038554;26.73786281;26243;;Tartu linn;"Annelinna suunas";6474369.59;660123.94;TartuLinn;Tartu LV
26244;7820187-1;Pikk;58.38113791;26.73694573;26244;;Tartu linn;"Raatuse tn. suunas";6474451.13;660066.92;TartuLinn;Tartu LV
