stop_id;stop_name;latitude;longitude
125595;Soola I;58.37731299;26.72982439
24873;Annelinna keskus;58.37045316;26.76670441
26387;Raudtee IV;58.35522599;26.70754632
26520;Silla I;58.36910319;26.74017165
144829;Eha;58.37027018;26.72756102
144384;Killustiku;58.39732505;26.73427053
144383;Mõisapargi;58.39989791;26.729291
144380;Sinepi;58.4026746;26.71596028
145460;Teguri;58.36092931;26.72124144
26240;Peetri;58.39007646;26.72913255
26385;Raudtee III;58.35467418;26.70708405
125565;Turu;58.37792077;26.73396427
140318;Roheline park;58.39652974;26.68533648
26122;Soola I;58.37716844;26.73005784
24882;Kopli;58.34863097;26.71010606
116457;Roopa;58.34872195;26.69763966
26508;Roopa;58.34868407;26.69763178
149423;Klaose;58.40640897;26.7038608
26847;Aardla;58.35484233;26.72295824
25475;Kasarmu;58.38659375;26.73719894
26374;Raadi;58.39664003;26.73102389
26083;Jõe;58.37056892;26.73946996
24717;E-Kaubamaja;58.3584934;26.73078222
33511;Tartu Maja IV;58.38183188;26.68539271
138205;Hotell Sophia;58.35677838;26.67871662
133806;Jaama;58.3840735;26.7402712
26237;Pauluse;58.3710759;26.7156237
26391;Nisu;58.37308889;26.68539208
159715;Kvissentali;58.40649432;26.69662695
26390;Ravila;58.36990365;26.68980226
26389;Ravila;58.36979825;26.68927247
161142;Lennujaam;58.31074453;26.69123484
